"Create a new user";"ایجاد یک کاربر جدید"
"To create a new user complete this form and click submit.";"برای ایجاد یک کاربر جدید این فرم را پر کنید و بر روی دکمه ذخیره کلیک کنید."
"My Account";"اکانت من"
"To log in";"برای ورود"
"click here";"اینجا کلیک کنید"
"Hello!";"سلام!"
"Your role is:";"نقش شما:"
"To log out";"برای خروج"
"Current Users";"کاربران موجود"
"Last Name";"فامیل"
"First Name";"اسم"
"Username";"نام کاربری"
"Role";"نقش"
"You do not have any users yet.";"شما هنوز هیچ کاربری در لیست ندارید"
"Create a new user";"ایجاد یک کاربر جدید"
"User Login";"ورود کاربر"
"To login to your account please enter your username and password below.";"برای ورود به حساب کاربری فرم زیر را کامل کنید."
"User logout";"خروج کاربر"
"You have successfully logged out.";"شما با موفقیت خارج شدید."
"Update user password";"به روز رسانی کلمه عبور"
"Update user";"به روز رسانی اطلاعات کاربر"
"Update Password";"به روز رسانی کلمه عبور"
"Username:";"نام کاربری:"
"Password:";"کلمه عبور:"
"First Name:";"نام:"
"Last Name:";"فامیل:"
"Select a role:";"نقش کاربری:"
